n,eph,per
1000,1.9715e-3,8.37051e-2
1000,1.0738e-3,6.08488e-2
1000,1.0216e-3,5.5337e-2
1000,1.17e-3,6.98974e-2
1000,8.021e-4,6.1527e-2
1000,9.783e-4,6.57215e-2
1000,1.0774e-3,5.74877e-2
1000,6.68e-4,7.33081e-2
1000,7.4e-4,6.59976e-2
1000,1.3321e-3,6.76678e-2
1000,1.2875e-3,7.79862e-2
1000,7.812e-4,5.96511e-2
1000,8.974e-4,6.72835e-2
1000,1.0267e-3,6.02257e-2
1000,8.752e-4,8.87168e-2
1000,6.844e-4,7.14574e-2
1000,9.973e-4,6.53217e-2
1000,1.3631e-3,6.86763e-2
1000,7.634e-4,6.13456e-2
1000,7.094e-4,7.13601e-2
1300,1.3591e-3,7.82368e-2
1300,1.287e-3,0.1018564
1300,1.5837e-3,8.88723e-2
1300,1.2874e-3,0.1064956
1300,1.171e-3,8.67773e-2
1300,1.4488e-3,9.11896e-2
1300,1.3545e-3,9.43021e-2
1300,1.5017e-3,8.47958e-2
1300,1.3597e-3,8.74614e-2
1300,1.3142e-3,0.1021194
1300,1.4863e-3,9.10239e-2
1300,1.2623e-3,8.95607e-2
1300,1.4162e-3,0.1000051
1300,1.6052e-3,0.1063318
1300,1.1943e-3,9.33026e-2
1300,2.7171e-3,0.1076857
1300,1.2795e-3,0.1021363
1300,2.4542e-3,0.1437
1300,2.0473e-3,0.166089
1300,1.8399e-3,0.1621312
1690,2.6581e-3,0.1829434
1690,2.3523e-3,0.1679452
1690,6.6089e-3,0.1982262
1690,4.4572e-3,0.1959714
1690,2.497e-3,0.1868636
1690,2.4206e-3,0.2036825
1690,2.7654e-3,0.199731
1690,2.1358e-3,0.1455254
1690,2.5029e-3,0.1872585
1690,2.9509e-3,0.1786759
1690,2.7728e-3,0.2333607
1690,2.9564e-3,0.1653034
1690,2.5155e-3,0.1619999
1690,4.9128e-3,0.2026994
1690,2.4582e-3,0.1809868
1690,3.6676e-3,0.260261
1690,5.5673e-3,0.1992015
1690,5.611e-3,0.2501609
1690,2.2902e-3,0.1970661
1690,5.3299e-3,0.1941088
2197,5.4375e-3,0.2662704
2197,4.687e-3,0.1958847
2197,6.5727e-3,0.3266938
2197,3.6121e-3,0.1932686
2197,6.8852e-3,0.3088857
2197,8.6911e-3,0.2522208
2197,7.4421e-3,0.3250563
2197,9.064e-3,0.3361003
2197,7.8754e-3,0.2195918
2197,6.4393e-3,0.3054297
2197,3.4057e-3,0.2000122
2197,3.4097e-3,0.2447693
2197,3.3504e-3,0.27335
2197,2.8089e-3,0.2770045
2197,3.5425e-3,0.2220869
2197,3.2581e-3,0.2038732
2197,1.99985e-2,0.3187368
2197,2.9904e-3,0.2424863
2197,3.5704e-3,0.2478214
2197,3.5153e-3,0.2195844
2857,1.3127e-2,0.3652583
2857,4.657e-3,0.334392
2857,4.0566e-3,0.3760889
2857,4.8814e-3,0.250851
2857,8.8649e-3,0.3132446
2857,4.6607e-3,0.3580848
2857,5.036e-3,0.3574423
2857,5.0863e-3,0.3017153
2857,4.9679e-3,0.37406
2857,5.2226e-3,0.265624
