seed,n,time
0,500,4.10075e-2
0,500,4.35197e-2
0,500,4.18297e-2
0,500,4.23567e-2
0,500,4.17421e-2
0,500,4.58292e-2
0,500,4.18596e-2
0,500,4.42766e-2
0,500,4.20174e-2
0,500,4.30458e-2
1,500,6.77008e-2
1,500,7.59941e-2
1,500,7.75847e-2
1,500,7.34697e-2
1,500,7.17577e-2
1,500,7.13542e-2
1,500,6.62888e-2
1,500,6.71708e-2
1,500,7.28558e-2
1,500,6.7008e-2
2,500,3.23221e-2
2,500,3.26198e-2
2,500,3.23226e-2
2,500,3.112e-2
2,500,3.44763e-2
2,500,3.20933e-2
2,500,3.42798e-2
2,500,3.85627e-2
2,500,3.40358e-2
2,500,3.39977e-2
3,500,0.5112728
3,500,0.49284
3,500,0.5091186
3,500,0.708046
3,500,0.6824002
3,500,0.7138141
3,500,0.694051
3,500,0.636354
3,500,0.6832976
3,500,0.7532057
4,500,9.8147e-2
4,500,0.1199478
4,500,0.1329858
4,500,9.14059e-2
4,500,0.1150851
4,500,7.94741e-2
4,500,0.104862
4,500,9.25852e-2
4,500,7.82071e-2
4,500,7.69911e-2
5,500,6.08474e-2
5,500,6.17133e-2
5,500,6.25332e-2
5,500,8.61007e-2
5,500,6.20101e-2
5,500,8.76243e-2
5,500,6.88111e-2
5,500,8.78106e-2
5,500,0.1096138
5,500,8.81428e-2
6,500,7.53235e-2
6,500,6.18428e-2
6,500,6.15815e-2
6,500,6.13031e-2
6,500,6.236e-2
6,500,8.77029e-2
6,500,6.21387e-2
6,500,6.10577e-2
6,500,6.23217e-2
6,500,8.87634e-2
7,500,5.02309e-2
7,500,2.62048e-2
7,500,4.47709e-2
7,500,2.26235e-2
7,500,2.29251e-2
7,500,2.36998e-2
7,500,2.31115e-2
7,500,2.34702e-2
7,500,2.2978e-2
7,500,2.28161e-2
8,500,0.1014103
8,500,7.3209e-2
8,500,7.34942e-2
8,500,0.125022
8,500,0.1016924
8,500,7.87607e-2
8,500,0.1272323
8,500,0.1022309
8,500,7.18575e-2
8,500,0.1021007
9,500,4.15448e-2
9,500,4.17882e-2
9,500,4.13853e-2
9,500,4.12467e-2
9,500,4.1151e-2
9,500,4.15259e-2
9,500,5.36606e-2
9,500,3.96326e-2
9,500,3.9974e-2
9,500,4.20084e-2
10,500,0.1604659
10,500,0.1431402
10,500,0.1529277
10,500,0.1268194
10,500,0.1571917
10,500,0.1334905
10,500,0.1535678
10,500,0.1637834
