n,time,splits
500,4.81948e-2,163
500,3.664e-3,163
500,3.3561e-3,163
500,3.1838e-3,163
500,3.1171e-3,163
500,3.2577e-3,163
500,3.2425e-3,163
500,3.4475e-3,163
500,3.4019e-3,163
500,3.24e-3,163
500,3.1927e-3,163
500,3.6066e-3,163
500,3.3012e-3,163
500,3.225e-3,163
500,3.9398e-3,163
500,3.4322e-3,163
500,3.4818e-3,163
500,3.3923e-3,163
500,3.2595e-3,163
500,3.2726e-3,163
500,3.6339e-3,163
500,3.2966e-3,163
500,3.4386e-3,163
500,3.3901e-3,163
500,3.2355e-3,163
500,3.2453e-3,163
500,3.8857e-3,163
500,3.3534e-3,163
500,3.3462e-3,163
500,3.3402e-3,163
650,4.56189e-2,214
650,6.7602e-3,214
650,6.7474e-3,214
650,6.681e-3,214
650,6.2351e-3,214
650,6.3154e-3,214
650,6.8342e-3,214
650,6.1391e-3,214
650,6.1532e-3,214
650,8.0252e-3,214
650,1.22525e-2,214
650,1.22879e-2,214
650,1.16964e-2,214
650,8.3227e-3,214
650,6.629e-3,214
650,6.3598e-3,214
650,6.44e-3,214
650,6.2192e-3,214
650,6.4664e-3,214
650,6.1079e-3,214
650,1.3502e-2,214
650,1.62724e-2,214
650,1.46113e-2,214
650,9.0906e-3,214
650,6.9717e-3,214
650,6.8742e-3,214
650,6.8709e-3,214
650,7.097e-3,214
650,9.1496e-3,214
650,1.73304e-2,214
845,9.41881e-2,279
845,9.4796e-3,279
845,1.56613e-2,279
845,1.14817e-2,279
845,1.0144e-2,279
845,1.02376e-2,279
845,1.00118e-2,279
845,1.04774e-2,279
845,9.9658e-3,279
845,1.07568e-2,279
845,1.00017e-2,279
845,1.09905e-2,279
845,2.39987e-2,279
845,1.98642e-2,279
845,1.6598e-2,279
845,2.4095e-2,279
845,2.18978e-2,279
845,2.43913e-2,279
845,1.19414e-2,279
845,1.12753e-2,279
845,1.39403e-2,279
845,2.37217e-2,279
845,2.51334e-2,279
845,2.73793e-2,279
845,2.19784e-2,279
845,2.54596e-2,279
845,1.61625e-2,279
845,1.12266e-2,279
845,1.15641e-2,279
845,1.19936e-2,279
1099,5.49529e-2,364
1099,1.29181e-2,364
1099,1.29158e-2,364
1099,2.0709e-2,364
1099,2.11896e-2,364
1099,1.59791e-2,364
1099,1.69835e-2,364
1099,2.04042e-2,364
1099,2.14819e-2,364
1099,1.51505e-2,364
1099,3.32403e-2,364
1099,1.8139e-2,364
1099,2.43261e-2,364
1099,2.90929e-2,364
1099,3.36445e-2,364
1099,1.91001e-2,364
1099,1.50102e-2,364
1099,3.66435e-2,364
1099,1.92103e-2,364
1099,2.083e-2,364
1099,1.59441e-2,364
1099,3.35637e-2,364
1099,2.06127e-2,364
1099,2.49388e-2,364
1099,2.96744e-2,364
1099,1.60844e-2,364
1099,1.60057e-2,364
1099,1.53606e-2,364
1099,1.37265e-2,364
1099,1.47728e-2,364
1429,4.22714e-2,474
1429,2.00418e-2,474
1429,2.49094e-2,474
1429,4.75542e-2,474
1429,2.96884e-2,474
1429,5.12949e-2,474
1429,4.80963e-2,474
1429,5.46524e-2,474
1429,2.74159e-2,474
1429,3.2982e-2,474
1429,2.19141e-2,474
1429,2.31066e-2,474
1429,2.34273e-2,474
1429,2.48186e-2,474
1429,3.81692e-2,474
1429,4.16278e-2,474
1429,2.23612e-2,474
1429,2.20647e-2,474
1429,2.28578e-2,474
1429,2.39828e-2,474
1429,2.89664e-2,474
1429,3.76049e-2,474
1429,2.3535e-2,474
1429,2.07877e-2,474
1429,4.55693e-2,474
1429,2.77723e-2,474
1429,2.37204e-2,474
1429,2.38405e-2,474
1429,2.79471e-2,474
1429,4.2841e-2,474
1858,0.1867174,617
1858,2.90789e-2,617
