seed,version,eph,per
0,1000,6.29e-5,9.162e-4
0,1000,1.207e-4,1.0759e-3
0,1000,7.24e-5,4.595e-4
0,1000,2.63e-5,3.614e-4
0,1000,4.04e-5,4.989e-4
0,1000,1.017e-4,9.376e-4
0,1000,1.004e-4,9.638e-4
0,1000,9.42e-5,6.275e-4
0,1000,4.77e-5,5.506e-4
0,1000,8.14e-5,8.845e-4
0,1000,9.06e-5,8.751e-4
0,1000,9.2e-5,8.457e-4
0,1000,1.026e-4,8.615e-4
0,1000,5.11e-5,2.934e-4
0,1000,3.31e-5,5.952e-4
0,1000,8.86e-5,9.169e-4
0,1000,8.81e-5,9.156e-4
0,1000,8.95e-5,8.728e-4
0,1000,3.29e-5,3.435e-4
0,1000,3.34e-5,3.525e-4
0,1300,7.31e-5,6.741e-4
0,1300,7.38e-5,6.347e-4
0,1300,5.53e-5,5.495e-4
0,1300,5.26e-5,1.2362e-3
0,1300,1.666e-4,1.259e-3
0,1300,2.099e-4,1.4391e-3
0,1300,1.77e-4,1.4533e-3
0,1300,1.609e-4,1.508e-3
0,1300,1.37e-4,1.6743e-3
0,1300,1.95e-4,1.5088e-3
0,1300,2.074e-4,1.2009e-3
0,1300,1.423e-4,1.2789e-3
0,1300,1.367e-4,1.1452e-3
0,1300,7.65e-5,8.394e-4
0,1300,8.22e-5,6.976e-4
0,1300,6.84e-5,6.877e-4
0,1300,6.86e-5,7.012e-4
0,1300,6.84e-5,7.512e-4
0,1300,6.58e-5,9.357e-4
0,1300,7.25e-5,5.021e-4
0,1690,1.182e-4,1.1312e-3
0,1690,1.067e-4,9.515e-4
0,1690,9.11e-5,9.021e-4
0,1690,1.669e-4,7.561e-4
0,1690,7.63e-5,6.777e-4
0,1690,5.89e-5,6.195e-4
0,1690,1.182e-4,6.31e-4
0,1690,6.34e-5,6.189e-4
0,1690,6.31e-5,6.196e-4
0,1690,5.69e-5,6.078e-4
0,1690,5.8e-5,5.792e-4
0,1690,6.16e-5,6.59e-4
0,1690,5.76e-5,5.862e-4
0,1690,6.04e-5,6.055e-4
0,1690,6.1e-5,6.613e-4
0,1690,5.83e-5,5.95e-4
0,1690,6.17e-5,6.001e-4
0,1690,6.32e-5,6.639e-4
0,1690,5.9e-5,5.951e-4
0,1690,6.15e-5,5.999e-4
0,2197,1.08e-4,9.355e-4
0,2197,2.107e-4,1.0898e-3
0,2197,1.739e-4,1.2386e-3
0,2197,1.286e-4,1.521e-3
0,2197,2.063e-4,1.3335e-3
0,2197,9.85e-5,9.817e-4
0,2197,7.47e-5,8.677e-4
0,2197,7.4e-5,7.836e-4
0,2197,6.83e-5,7.773e-4
0,2197,6.83e-5,8.263e-4
0,2197,7.3e-5,8.556e-4
0,2197,6.86e-5,8.445e-4
0,2197,7.64e-5,8.077e-4
0,2197,7.04e-5,7.908e-4
0,2197,7.05e-5,7.974e-4
0,2197,7.14e-5,7.915e-4
0,2197,7.02e-5,8.22e-4
0,2197,7.33e-5,7.924e-4
0,2197,9.6e-5,1.4387e-3
0,2197,1.437e-4,1.2659e-3
0,2857,5.405e-4,3.0446e-3
0,2857,1.595e-4,2.0944e-3
0,2857,2.919e-4,1.7599e-3
0,2857,3.67e-4,1.2291e-3
0,2857,2.418e-4,1.018e-3
0,2857,2.358e-4,1.2672e-3
0,2857,3.084e-4,1.4923e-3
0,2857,2.87e-4,1.3691e-3
0,2857,2.316e-4,1.0974e-3
0,2857,1.941e-4,1.1756e-3
0,2857,1.957e-4,1.3051e-3
0,2857,1.164e-4,1.1376e-3
0,2857,1.376e-4,1.1848e-3
0,2857,1.363e-4,1.1277e-3
0,2857,1.367e-4,1.1345e-3
0,2857,1.388e-4,1.0758e-3
0,2857,1.364e-4,1.1189e-3
0,2857,1.41e-4,1.9029e-3
0,2857,2.599e-4,2.1673e-3
0,2857,2.291e-4,1.6501e-3
0,3715,1.922e-4,2.3217e-3
0,3715,1.908e-4,2.5164e-3
0,3715,2.547e-4,3.0112e-3
0,3715,2.884e-4,3.1972e-3
0,3715,3.146e-4,2.776e-3
0,3715,3.563e-4,1.8698e-3
0,3715,2.539e-4,1.4354e-3
0,3715,2.617e-4,1.55e-3
0,3715,1.646e-4,1.5601e-3
0,3715,1.774e-4,1.9798e-3
0,3715,2.229e-4,2.7218e-3
0,3715,2.916e-4,3.0135e-3
0,3715,2.631e-4,2.4152e-3
0,3715,2.78e-4,1.948e-3
0,3715,2.632e-4,1.8768e-3
0,3715,1.679e-4,1.7763e-3
0,3715,1.864e-4,1.9053e-3
0,3715,2.065e-4,3.0386e-3
0,3715,2.837e-4,2.9922e-3
0,3715,2.596e-4,2.4471e-3
0,4830,3.619e-4,3.8733e-3
0,4830,3.473e-4,3.755e-3
0,4830,4.116e-4,4.4914e-3
0,4830,5.936e-4,8.4203e-3
0,4830,1.5855e-3,8.6141e-3
0,4830,6.998e-4,8.2644e-3
0,4830,6.927e-4,8.4571e-3
0,4830,8.766e-4,6.8003e-3
0,4830,5.615e-4,4.7766e-3
0,4830,5.599e-4,4.237e-3
0,4830,4.797e-4,4.5036e-3
0,4830,5.088e-4,4.3963e-3
0,4830,4.832e-4,3.869e-3
0,4830,4.258e-4,3.6974e-3
0,4830,3.559e-4,4.3195e-3
0,4830,5.916e-4,4.3212e-3
0,4830,4.601e-4,4.2641e-3
0,4830,7.619e-4,7.2697e-3
0,4830,1.5874e-3,9.9453e-3
0,4830,1.3477e-3,7.9221e-3
0,6279,5.512e-4,6.3317e-3
0,6279,6.896e-4,9.8697e-3
0,6279,7.396e-4,8.9538e-3
0,6279,7.961e-4,9.4527e-3
0,6279,1.2041e-3,7.1406e-3
0,6279,7.175e-4,8.4711e-3
0,6279,1.0701e-3,1.23321e-2
0,6279,1.0874e-3,7.1638e-3
0,6279,7.532e-4,5.6857e-3
0,6279,6.296e-4,5.3261e-3
0,6279,6.32e-4,5.8185e-3
0,6279,4.459e-4,5.8527e-3
0,6279,5.693e-4,6.1918e-3
0,6279,8.107e-4,5.9454e-3
0,6279,6.253e-4,6.3645e-3
0,6279,8.049e-4,5.4761e-3
0,6279,6.562e-4,5.0619e-3
0,6279,4.292e-4,7.1056e-3
0,6279,1.3767e-3,9.4145e-3
0,6279,7.738e-4,6.521e-3
0,8163,6.771e-4,8.042e-3
0,8163,7.874e-4,8.2573e-3
0,8163,7.963e-4,7.0653e-3
0,8163,8.731e-4,7.92e-3
0,8163,8.709e-4,7.9032e-3
0,8163,9.503e-4,7.9597e-3
0,8163,8.283e-4,7.915e-3
0,8163,1.0127e-3,7.8243e-3
0,8163,9.797e-4,1.71125e-2
0,8163,2.2308e-3,1.79616e-2
0,8163,1.3994e-3,9.5762e-3
0,8163,1.0103e-3,7.6528e-3
0,8163,1.1314e-3,7.7204e-3
0,8163,1.0027e-3,8.1553e-3
0,8163,1.033e-3,7.6422e-3
0,8163,9.225e-4,8.3125e-3
0,8163,1.004e-3,7.3942e-3
0,8163,1.0654e-3,8.4125e-3
0,8163,9.569e-4,8.133e-3
0,8163,9.517e-4,8.1267e-3
0,10612,6.949e-4,1.11181e-2
0,10612,1.0547e-3,1.08623e-2
0,10612,1.1094e-3,1.07733e-2
0,10612,1.3954e-3,1.10272e-2
0,10612,1.1146e-3,1.45336e-2
0,10612,2.3473e-3,2.25755e-2
0,10612,1.7605e-3,1.58092e-2
0,10612,1.1484e-3,1.06958e-2
0,10612,1.1933e-3,1.09334e-2
0,10612,1.1945e-3,1.09616e-2
0,10612,1.1062e-3,1.05477e-2
0,10612,1.0958e-3,1.98231e-2
0,10612,2.0622e-3,2.13949e-2
0,10612,1.5291e-3,1.23998e-2
0,10612,1.2712e-3,1.02316e-2
0,10612,1.0977e-3,1.06914e-2
0,10612,1.3264e-3,1.0653e-2
0,10612,1.0363e-3,1.09274e-2
0,10612,1.0029e-3,1.24921e-2
0,10612,2.2112e-3,2.21541e-2
0,13796,3.2969e-3,2.99251e-2
0,13796,1.9986e-3,1.70034e-2
0,13796,1.4149e-3,1.34146e-2
0,13796,1.7627e-3,2.41381e-2
0,13796,3.028e-3,2.83204e-2
0,13796,2.3186e-3,2.65648e-2
0,13796,2.5837e-3,2.28182e-2
0,13796,1.5792e-3,2.57374e-2
0,13796,2.6489e-3,2.41978e-2
0,13796,1.6933e-3,1.40428e-2
0,13796,1.6826e-3,1.41359e-2
0,13796,1.6777e-3,1.45962e-2
0,13796,1.7231e-3,1.43465e-2
0,13796,1.6477e-3,1.38547e-2
0,13796,1.581e-3,2.87664e-2
0,13796,2.405e-3,2.1371e-2
0,13796,1.9119e-3,1.38917e-2
0,13796,1.5575e-3,1.37878e-2
0,13796,1.6622e-3,2.01151e-2
0,13796,3.0407e-3,2.90232e-2
0,17935,2.2945e-3,1.74905e-2
0,17935,2.1694e-3,1.84791e-2
0,17935,1.9137e-3,1.81825e-2
0,17935,1.9921e-3,1.79301e-2
0,17935,1.93e-3,1.81691e-2
0,17935,2.0748e-3,1.88076e-2
0,17935,2.1597e-3,1.84009e-2
0,17935,2.0363e-3,1.81596e-2
0,17935,2.0708e-3,1.86306e-2
0,17935,2.0896e-3,1.80402e-2
0,17935,2.1388e-3,1.80151e-2
0,17935,2.0733e-3,1.80619e-2
0,17935,2.0091e-3,1.83684e-2
