version,eph,per
1010,5.73e-5,4.584e-4
1010,4.49e-5,3.889e-4
1010,3.16e-5,2.828e-4
1010,3.25e-5,2.711e-4
1010,3.24e-5,2.735e-4
1010,3.29e-5,2.67e-4
1010,3.21e-5,2.538e-4
1010,3.08e-5,2.884e-4
1010,3.21e-5,2.638e-4
1010,3.08e-5,2.664e-4
1010,3.22e-5,2.638e-4
1010,3.31e-5,2.429e-4
1010,3.12e-5,2.428e-4
1010,3.72e-5,2.687e-4
1010,3.18e-5,2.648e-4
1010,3.17e-5,2.648e-4
1010,3.15e-5,2.676e-4
1010,3.19e-5,2.722e-4
1010,3.12e-5,2.578e-4
1010,3.09e-5,2.636e-4
1010,3.18e-5,2.629e-4
1010,3.11e-5,2.634e-4
1010,3.99e-5,2.644e-4
1010,3.1e-5,2.709e-4
1010,3.16e-5,2.762e-4
1010,3.15e-5,2.649e-4
1010,3.71e-5,2.64e-4
1010,4.35e-5,2.646e-4
1010,3.72e-5,2.656e-4
1010,4.4e-5,2.644e-4
1212,3.08e-5,2.579e-4
1212,4.29e-5,6.217e-4
1212,4.31e-5,2.759e-4
1212,3.24e-5,3.042e-4
1212,3.21e-5,2.806e-4
1212,3.06e-5,2.565e-4
1212,3.1e-5,2.658e-4
1212,3.2e-5,2.668e-4
1212,3.14e-5,2.679e-4
1212,3.17e-5,2.67e-4
1212,3.11e-5,2.688e-4
1212,3.12e-5,2.544e-4
1212,3.43e-5,2.697e-4
1212,3.19e-5,2.68e-4
1212,3.13e-5,2.693e-4
1212,3.24e-5,2.741e-4
1212,3.4e-5,2.719e-4
1212,3.2e-5,2.566e-4
1212,3.28e-5,2.739e-4
1212,3.27e-5,2.704e-4
1212,3.24e-5,2.755e-4
1212,3.24e-5,2.799e-4
1212,3.35e-5,2.629e-4
1212,3.28e-5,2.516e-4
1212,3.31e-5,2.855e-4
1212,3.16e-5,2.694e-4
1212,3.7e-5,2.746e-4
1212,3.15e-5,2.754e-4
1212,3.11e-5,2.7e-4
1212,3.11e-5,2.532e-4
1455,3.1e-5,3.32e-4
1455,3.09e-5,2.887e-4
1455,3.78e-5,2.734e-4
1455,3.05e-5,2.69e-4
1455,3.08e-5,2.716e-4
1455,3.03e-5,2.588e-4
1455,3.13e-5,2.7e-4
1455,3.0e-5,2.675e-4
1455,3.08e-5,2.716e-4
1455,3.02e-5,2.72e-4
1455,3.05e-5,2.7e-4
1455,3.01e-5,2.591e-4
1455,3.04e-5,2.512e-4
1455,2.92e-5,2.604e-4
1455,2.98e-5,2.712e-4
1455,2.84e-5,2.701e-4
1455,3.01e-5,2.693e-4
1455,2.87e-5,2.543e-4
1455,2.88e-5,2.669e-4
1455,2.89e-5,2.652e-4
1455,2.86e-5,2.646e-4
1455,2.92e-5,2.742e-4
1455,2.88e-5,2.642e-4
1455,2.83e-5,2.498e-4
1455,2.9e-5,2.608e-4
1455,2.87e-5,2.618e-4
1455,2.84e-5,2.624e-4
1455,2.83e-5,2.624e-4
1455,2.86e-5,2.495e-4
1455,2.9e-5,2.528e-4
1747,2.9e-5,2.874e-4
1747,2.84e-5,2.651e-4
1747,3.1e-5,2.636e-4
1747,2.88e-5,2.637e-4
1747,2.85e-5,2.407e-4
1747,2.8e-5,2.489e-4
1747,2.86e-5,2.726e-4
1747,2.96e-5,2.676e-4
1747,2.82e-5,2.693e-4
1747,2.84e-5,2.687e-4
1747,2.9e-5,2.541e-4
1747,2.88e-5,2.669e-4
1747,2.89e-5,2.739e-4
1747,2.89e-5,2.687e-4
1747,2.91e-5,2.653e-4
1747,2.94e-5,2.641e-4
1747,2.84e-5,2.513e-4
1747,2.93e-5,3.079e-4
1747,2.78e-5,2.816e-4
1747,2.92e-5,2.659e-4
1747,2.96e-5,2.646e-4
1747,2.92e-5,2.706e-4
1747,2.9e-5,2.728e-4
1747,3.08e-5,2.9e-4
1747,2.87e-5,2.771e-4
1747,4.53e-5,3.291e-4
1747,5.01e-5,5.01e-4
1747,3.28e-5,3.119e-4
1747,3.61e-5,3.027e-4
1747,3.28e-5,3.324e-4
2097,3.05e-5,3.114e-4
2097,2.99e-5,2.914e-4
2097,2.95e-5,2.841e-4
2097,4.37e-5,2.935e-4
2097,3.02e-5,2.667e-4
2097,2.87e-5,2.783e-4
2097,3.23e-5,2.619e-4
2097,3.18e-5,2.837e-4
2097,2.84e-5,2.788e-4
2097,2.83e-5,2.788e-4
2097,2.96e-5,2.686e-4
2097,2.95e-5,2.756e-4
2097,3.26e-5,2.641e-4
2097,3.05e-5,3.151e-4
2097,2.89e-5,2.653e-4
2097,2.85e-5,2.572e-4
2097,2.83e-5,2.652e-4
2097,2.87e-5,2.648e-4
2097,2.92e-5,2.662e-4
2097,2.92e-5,2.629e-4
2097,2.83e-5,2.871e-4
2097,2.88e-5,2.71e-4
2097,2.95e-5,2.631e-4
2097,2.88e-5,2.636e-4
2097,2.86e-5,2.522e-4
2097,2.74e-5,2.398e-4
2097,2.78e-5,2.987e-4
2097,3.57e-5,2.878e-4
2097,3.05e-5,2.907e-4
2097,4.47e-5,3.305e-4
2517,3.09e-5,3.139e-4
2517,4.57e-5,3.101e-4
2517,2.95e-5,3.092e-4
2517,4.32e-5,2.741e-4
2517,4.31e-5,3.222e-4
2517,3.14e-5,3.088e-4
2517,3.01e-5,3.331e-4
2517,3.04e-5,3.016e-4
2517,2.94e-5,3.049e-4
2517,3.14e-5,2.866e-4
2517,4.3e-5,2.956e-4
2517,2.93e-5,2.93e-4
2517,2.96e-5,2.915e-4
2517,2.92e-5,3.018e-4
2517,2.97e-5,2.733e-4
2517,3.0e-5,2.593e-4
2517,2.96e-5,2.654e-4
2517,2.87e-5,2.624e-4
2517,2.9e-5,2.727e-4
2517,2.94e-5,2.584e-4
2517,2.84e-5,2.22e-4
2517,2.82e-5,2.482e-4
2517,2.94e-5,2.991e-4
2517,2.96e-5,2.71e-4
2517,2.91e-5,2.666e-4
2517,2.86e-5,2.706e-4
2517,3.15e-5,2.774e-4
2517,2.89e-5,2.636e-4
2517,2.8e-5,2.772e-4
2517,2.85e-5,2.574e-4
