version,eph,per
3010,6.0e-4,1.8542e-3
3010,5.659e-4,1.3461e-3
3010,4.171e-4,9.437e-4
3010,1.812e-4,4.795e-4
3010,1.408e-4,5.835e-4
3010,1.384e-4,5.894e-4
3010,1.335e-4,8.349e-4
3010,2.941e-4,1.7271e-3
3010,3.198e-4,1.6016e-3
3010,2.917e-4,1.4281e-3
3010,2.76e-4,1.4866e-3
3010,3.297e-4,1.5936e-3
3010,2.966e-4,1.1888e-3
3010,2.573e-4,1.1787e-3
3010,2.6e-4,5.636e-4
3010,3.071e-4,6.778e-4
3010,1.361e-4,5.534e-4
3010,1.361e-4,4.249e-4
3010,1.479e-4,4.065e-4
3010,1.267e-4,4.846e-4
3010,1.528e-4,4.361e-4
3010,1.269e-4,4.403e-4
3010,1.201e-4,4.087e-4
3010,1.121e-4,4.59e-4
3010,1.299e-4,4.407e-4
3010,1.449e-4,7.275e-4
3010,1.702e-4,9.568e-4
3010,2.811e-4,1.2913e-3
3010,3.11e-4,1.4749e-3
3010,3.143e-4,1.1668e-3
3613,6.91e-5,2.2636e-3
3613,6.78e-5,9.132e-4
3613,7.06e-5,6.384e-4
3613,7.09e-5,5.887e-4
3613,6.34e-5,6.407e-4
3613,7.11e-5,6.365e-4
3613,7.03e-5,6.224e-4
3613,7.63e-5,6.462e-4
3613,7.42e-5,6.586e-4
3613,7.11e-5,6.426e-4
3613,7.53e-5,5.197e-4
3613,6.93e-5,5.712e-4
3613,7.13e-5,5.345e-4
3613,5.37e-5,5.748e-4
3613,7.13e-5,6.217e-4
3613,6.76e-5,7.439e-4
3613,1.247e-4,6.292e-4
3613,6.92e-5,5.288e-4
3613,5.3e-5,7.193e-4
3613,9.39e-5,7.561e-4
3613,1.053e-4,8.77e-4
3613,9.46e-5,7.007e-4
3613,1.225e-4,7.104e-4
3613,7.69e-5,7.26e-4
3613,7.93e-5,7.367e-4
3613,9.22e-5,7.606e-4
3613,8.58e-5,7.937e-4
3613,8.5e-5,9.657e-4
3613,6.33e-5,5.545e-4
3613,5.45e-5,5.551e-4
4336,6.16e-4,1.614e-3
4336,1.0815e-3,1.89e-3
4336,7.738e-4,1.8364e-3
4336,5.791e-4,8.431e-4
4336,4.927e-4,6.545e-4
4336,2.977e-4,7.562e-4
4336,1.773e-4,4.749e-4
4336,1.767e-4,5.035e-4
4336,1.683e-4,4.464e-4
4336,1.446e-4,5.414e-4
4336,1.59e-4,5.733e-4
4336,2.352e-4,7.969e-4
4336,2.979e-4,6.769e-4
4336,2.013e-4,6.029e-4
4336,1.896e-4,5.05e-4
4336,1.413e-4,5.481e-4
4336,1.396e-4,4.98e-4
4336,1.37e-4,5.441e-4
4336,2.343e-4,5.733e-4
4336,2.218e-4,6.289e-4
4336,1.996e-4,5.638e-4
4336,2.252e-4,7.089e-4
4336,7.945e-4,1.3455e-3
4336,4.316e-4,1.1298e-3
4336,2.663e-4,8.672e-4
4336,2.253e-4,7.338e-4
4336,1.614e-4,9.835e-4
4336,2.962e-4,7.436e-4
4336,1.915e-4,8.854e-4
4336,1.85e-4,1.2079e-3
5204,4.709e-4,2.3924e-3
5204,6.304e-4,1.3583e-3
5204,6.841e-4,1.0114e-3
5204,2.512e-4,7.931e-4
5204,2.415e-4,6.954e-4
5204,1.898e-4,7.185e-4
5204,1.756e-4,6.915e-4
5204,1.705e-4,6.234e-4
5204,2.208e-4,1.4221e-3
5204,6.677e-4,1.126e-3
5204,5.564e-4,2.0601e-3
5204,9.128e-4,1.7047e-3
5204,7.83e-4,1.3525e-3
5204,4.796e-4,1.0959e-3
5204,3.634e-4,9.883e-4
5204,3.388e-4,1.0083e-3
5204,3.265e-4,1.3992e-3
5204,1.7555e-3,1.6749e-3
5204,1.0164e-3,2.1216e-3
5204,9.006e-4,1.252e-3
5204,6.823e-4,1.0594e-3
5204,3.788e-4,9.219e-4
5204,2.702e-4,8.374e-4
5204,2.313e-4,8.145e-4
5204,2.504e-4,1.1967e-3
5204,9.742e-4,2.351e-3
5204,1.0063e-3,1.4923e-3
5204,6.613e-4,1.1155e-3
5204,4.631e-4,8.941e-4
5204,3.035e-4,8.75e-4
6245,1.021e-4,2.5484e-3
6245,1.433e-4,2.291e-3
6245,1.381e-4,1.2639e-3
6245,1.075e-4,8.665e-4
6245,9.53e-5,7.693e-4
6245,8.51e-5,7.55e-4
6245,8.52e-5,7.725e-4
6245,8.51e-5,7.481e-4
6245,8.56e-5,7.961e-4
6245,1.186e-4,8.702e-4
6245,8.7e-5,8.568e-4
6245,1.022e-4,1.0367e-3
6245,9.49e-5,1.3537e-3
6245,1.043e-4,1.5736e-3
6245,1.663e-4,2.2397e-3
6245,1.034e-4,1.2303e-3
6245,1.108e-4,8.826e-4
6245,8.58e-5,7.55e-4
6245,1.001e-4,8.675e-4
6245,9.78e-5,8.044e-4
6245,9.93e-5,7.743e-4
6245,8.11e-5,6.994e-4
6245,8.16e-5,7.129e-4
6245,7.91e-5,7.197e-4
6245,6.75e-5,5.688e-4
6245,5.14e-5,5.989e-4
6245,5.15e-5,5.577e-4
6245,9.13e-5,6.089e-4
6245,5.08e-5,4.547e-4
6245,5.11e-5,4.913e-4
7495,7.09e-5,1.0452e-3
7495,7.92e-5,9.707e-4
7495,5.47e-5,4.957e-4
7495,6.59e-5,4.632e-4
7495,6.54e-5,4.443e-4
7495,6.98e-5,4.706e-4
7495,7.51e-5,4.974e-4
7495,6.86e-5,4.897e-4
7495,6.39e-5,5.014e-4
7495,6.42e-5,4.991e-4
