seed,n,eph,per
0,10,4728,2360
1,10,4224,2184
2,10,4440,2080
3,10,5160,2144
4,10,4152,2552
5,10,4584,2256
6,10,4656,1992
7,10,4368,2320
8,10,4440,2336
9,10,4080,1776
10,10,4008,1968
11,10,4728,2120
12,10,4296,2272
13,10,4080,1776
14,10,4152,1816
15,10,4152,2216
16,10,3792,2336
17,10,4368,2144
18,10,5088,2280
19,10,4224,2368
20,10,4800,2168
21,10,4656,1864
22,10,4512,2344
23,10,5232,2448
24,10,4728,2232
25,10,4584,2296
26,10,4872,1904
27,10,5088,2056
28,10,4368,1752
29,10,5232,1840
0,13,6288,2960
1,13,6072,3392
2,13,6720,2568
3,13,6432,2984
4,13,5928,2488
5,13,6648,3504
6,13,5928,2672
7,13,6504,2832
8,13,6792,3112
9,13,6648,2656
10,13,6144,2136
11,13,6936,2440
12,13,6432,2808
13,13,6288,2552
14,13,6432,2896
15,13,8016,3200
16,13,6144,2464
17,13,6576,2632
18,13,6360,3064
19,13,6360,2984
20,13,6360,2720
21,13,6720,2632
22,13,6504,2880
23,13,6576,2528
24,13,6360,2632
25,13,6432,3136
26,13,8664,3000
27,13,6504,2592
28,13,7152,2288
29,13,7584,2760
0,17,8848,4216
1,17,10000,3952
2,17,9568,3304
3,17,9064,3848
4,17,9712,3288
5,17,8704,3776
6,17,10288,4168
7,17,10792,3392
8,17,8776,3904
9,17,8416,3352
10,17,9712,3928
11,17,9784,4432
12,17,9784,3744
13,17,8560,3304
14,17,9640,3368
15,17,9568,3736
16,17,9568,3264
17,17,9352,3456
18,17,9208,3928
19,17,9496,3784
20,17,9280,3304
21,17,8488,3304
22,17,9496,3976
23,17,10288,3696
24,17,9208,3536
25,17,10576,4304
26,17,10576,4104
27,17,8848,3584
28,17,10432,2976
29,17,11080,3608
0,23,12760,6160
1,23,16432,4792
2,23,14848,4680
3,23,13336,5680
4,23,14272,4616
5,23,13624,5488
6,23,15496,5152
7,23,16864,5288
8,23,14344,5096
9,23,14704,4440
10,23,13552,5440
11,23,14704,4992
12,23,14200,5008
13,23,14704,4680
14,23,15496,5088
15,23,14488,5544
16,23,15856,5416
17,23,13120,5096
18,23,19096,5464
19,23,13912,5264
20,23,14920,5072
21,23,13912,4840
22,23,17944,5128
23,23,13696,5592
24,23,16720,4896
25,23,13696,5152
26,23,14704,6352
27,23,13480,4928
28,23,17728,4752
29,23,14416,4680
0,30,19040,8776
1,30,20480,6784
2,30,24152,7008
3,30,20696,7328
4,30,22136,7080
5,30,18608,6672
6,30,21776,7912
7,30,22856,6128
8,30,21704,6920
9,30,19544,6344
10,30,18320,6152
11,30,22496,7288
12,30,21560,6784
13,30,22496,6960
14,30,20480,7752
15,30,20696,7392
16,30,20192,6888
17,30,21776,5440
18,30,21992,7024
19,30,19688,6456
20,30,18896,6240
21,30,24152,6528
22,30,21920,7008
23,30,18752,7112
24,30,23792,6224
25,30,20192,6376
26,30,20624,7712
27,30,18752,7064
28,30,25376,6680
29,30,20408,7104
0,39,27248,11496
1,39,28616,9000
2,39,31640,8264
3,39,27248,9712
4,39,28112,9376
5,39,28256,8904
6,39,27968,8920
7,39,32144,8696
8,39,30920,10720
9,39,27896,8632
10,39,27680,8408
11,39,28976,8224
12,39,31208,8416
13,39,29912,9296
14,39,31640,8112
15,39,27248,9112
16,39,27032,8928
17,39,34016,8768
18,39,29840,8912
19,39,28904,8984
20,39,25664,9544
21,39,28256,8456
22,39,28832,9072
23,39,29192,8672
24,39,31208,8136
25,39,30992,9144
26,39,27680,8984
27,39,25736,8568
28,39,34952,9328
29,39,27680,8616
0,51,38528,14696
1,51,38528,13152
2,51,42344,11936
3,51,38816,11768
4,51,37952,12464
5,51,42776,12976
6,51,39536,11576
7,51,43424,11760
8,51,41696,12696
9,51,42344,12008
10,51,42992,13504
11,51,40112,12072
12,51,44216,11776
13,51,43568,12496
14,51,52712,11472
15,51,40688,10744
16,51,38816,11960
17,51,39608,12632
18,51,41120,12552
19,51,43352,12808
20,51,45512,11504
21,51,38456,12080
22,51,41336,11128
23,51,45872,11192
24,51,42272,12568
25,51,40112,11800
26,51,41552,12336
27,51,37088,11968
28,51,44576,10976
29,51,44936,11840
0,67,60792,19104
1,67,56328,16520
2,67,62808,16688
3,67,54888,15776
4,67,56328,15512
5,67,57768,16752
6,67,67416,17120
7,67,60072,16560
8,67,57408,16768
9,67,59712,16360
10,67,55464,15704
11,67,58200,16184
12,67,60936,15376
13,67,75912,15600
14,67,65688,16376
15,67,57264,17016
16,67,57552,15544
17,67,55752,16800
18,67,56976,15872
19,67,63960,15832
20,67,63312,14968
21,67,57768,15336
22,67,62304,16792
23,67,61656,15544
24,67,61152,15504
25,67,54024,15400
26,67,64032,16584
27,67,60288,14936
28,67,73032,15464
29,67,61512,14624
0,88,90720,24016
1,88,81144,21344
2,88,80208,21136
3,88,76680,21016
4,88,82008,22408
5,88,85032,21264
6,88,99360,20872
7,88,88056,21200
8,88,84960,22816
9,88,83520,21096
10,88,83880,21096
11,88,79488,20376
12,88,80136,20336
13,88,90144,21208
14,88,80424,21904
15,88,83736,21920
16,88,76680,20232
17,88,79776,22088
18,88,76896,21200
19,88,94824,21592
20,88,100584,22112
21,88,87336,19456
22,88,79416,20176
23,88,85608,21184
24,88,78480,21232
25,88,80928,21600
26,88,82656,20872
27,88,86544,20728
28,88,85464,21472
29,88,92664,21392
0,115,122328,33016
1,115,120960,27856
2,115,108000,26368
3,115,108864,26736
4,115,112608,28376
5,115,112320,27072
6,115,133416,28152
7,115,114192,26776
8,115,130320,27000
9,115,111456,29936
10,115,112680,29576
11,115,114120,26808
12,115,108864,29568
13,115,124056,28744
14,115,112536,29696
15,115,109728,27976
16,115,118296,28048
17,115,110952,27656
18,115,109512,26896
19,115,135288,28536
20,115,146736,29080
21,115,124056,27616
22,115,107280,28184
23,115,126936,28736
24,115,106272,26600
25,115,120096,29040
26,115,118872,28880
27,115,123264,28256
28,115,114768,28184
29,115,133848,27720
0,150,171944,44192
1,150,159920,38752
2,150,160856,38792
3,150,152720,33680
4,150,161288,35688
5,150,209744,36016
6,150,164888,36232
7,150,178280,36568
8,150,160568,36528
9,150,155024,37680
10,150,162512,36536
11,150,160424,35976
12,150,157976,34488
13,150,199088,37464
14,150,155816,35792
15,150,153872,36040
16,150,173240,37320
17,150,168272,36672
18,150,170216,36768
19,150,204128,37304
20,150,157688,37680
21,150,174752,35576
22,150,161936,37032
23,150,168056,35712
24,150,161360,37568
25,150,163664,35632
26,150,170072,36888
27,150,181232,38104
28,150,168848,36680
29,150,167696,37304
0,195,244232,57520
1,195,224144,48968
2,195,219032,46992
3,195,241640,47792
4,195,226448,47496
5,195,252296,48960
6,195,246392,48064
7,195,239192,47552
