n,per,splits
1,384,0
2,608,0
3,832,0
4,1056,0
5,1368,1
6,1592,1
7,1816,1
8,2040,1
9,2352,2
10,2576,2
11,2800,2
12,3024,2
13,3336,3
14,3560,3
15,3784,3
16,4264,3
17,4696,5
18,4952,5
19,5208,5
20,5464,5
21,5808,6
22,6064,6
23,6320,6
24,6576,6
25,6920,7
26,7176,7
27,7432,7
28,7688,7
29,8032,8
30,8288,8
31,8544,8
32,8800,8
33,9232,10
34,9488,10
35,9744,10
36,10000,10
37,10344,11
38,10600,11
39,10856,11
40,11112,11
41,11456,12
42,11712,12
43,11968,12
44,12224,12
45,12568,13
46,12824,13
47,13080,13
48,13336,13
49,13768,15
50,14024,15
51,14280,15
52,14536,15
53,14880,16
54,15136,16
55,15392,16
56,15648,16
57,15992,17
58,16248,17
59,16504,17
60,16760,17
61,17104,18
62,17360,18
63,17616,18
64,17872,18
65,18392,21
66,18648,21
67,18904,21
68,19160,21
69,19504,22
70,19760,22
71,20016,22
72,20272,22
73,20616,23
74,20872,23
75,21128,23
76,21384,23
77,21728,24
78,21984,24
79,22240,24
80,22496,24
81,22928,26
82,23184,26
83,23440,26
84,23696,26
85,24040,27
86,24296,27
87,24552,27
88,24808,27
89,25152,28
90,25408,28
91,25664,28
92,25920,28
93,26264,29
94,26520,29
95,26776,29
96,27032,29
97,27464,31
98,27720,31
99,27976,31
100,28232,31
101,28576,32
102,28832,32
103,29088,32
104,29344,32
105,29688,33
106,29944,33
107,30200,33
108,30456,33
109,30800,34
110,31056,34
111,31312,34
112,31568,34
113,32000,36
114,32256,36
115,32512,36
116,32768,36
117,33112,37
118,33368,37
119,33624,37
120,33880,37
121,34224,38
122,34480,38
123,34736,38
124,34992,38
125,35336,39
126,35592,39
127,35848,39
128,36104,39
129,36624,42
130,36880,42
131,37136,42
132,37392,42
133,37736,43
134,37992,43
135,38248,43
136,38504,43
137,38848,44
138,39104,44
139,39360,44
140,39616,44
141,39960,45
142,40216,45
143,40472,45
144,40728,45
145,41160,47
146,41416,47
147,41672,47
148,41928,47
149,42272,48
150,42528,48
151,42784,48
152,43040,48
153,43384,49
154,43640,49
155,43896,49
156,44152,49
157,44496,50
158,44752,50
159,45008,50
160,45264,50
161,45696,52
162,45952,52
163,46208,52
164,46464,52
165,46808,53
166,47064,53
167,47320,53
168,47576,53
169,47920,54
170,48176,54
171,48432,54
172,48688,54
173,49032,55
174,49288,55
175,49544,55
176,49800,55
177,50232,57
178,50488,57
179,50744,57
180,51000,57
181,51344,58
182,51600,58
183,51856,58
184,52112,58
185,52456,59
186,52712,59
187,52968,59
188,53224,59
189,53568,60
190,53824,60
191,54080,60
192,54336,60
193,54856,63
194,55112,63
195,55368,63
196,55624,63
197,55968,64
198,56224,64
199,56480,64
200,56736,64
201,57080,65
202,57336,65
203,57592,65
204,57848,65
205,58192,66
206,58448,66
207,58704,66
208,58960,66
209,59392,68
210,59648,68
211,59904,68
212,60160,68
213,60504,69
214,60760,69
215,61016,69
216,61272,69
217,61616,70
218,61872,70
219,62128,70
220,62384,70
221,62728,71
222,62984,71
223,63240,71
224,63496,71
225,63928,73
226,64184,73
227,64440,73
228,64696,73
229,65040,74
230,65296,74
231,65552,74
232,65808,74
233,66152,75
234,66408,75
235,66664,75
236,66920,75
237,67264,76
238,67520,76
239,67776,76
240,68032,76
241,68464,78
242,68720,78
243,68976,78
244,69232,78
245,69576,79
246,69832,79
247,70088,79
248,70344,79
249,70688,80
250,70944,80
251,71200,80
252,71456,80
253,71800,81
254,72056,81
255,72312,81
256,72568,81
257,73176,85
258,73432,85
259,73688,85
260,73944,85
261,74288,86
262,74544,86
263,74800,86
264,75056,86
265,75400,87
266,75656,87
267,75912,87
268,76168,87
269,76512,88
270,76768,88
271,77024,88
272,77280,88
273,77712,90
274,77968,90
275,78224,90
276,78480,90
277,78824,91
278,79080,91
279,79336,91
280,79592,91
281,79936,92
282,80192,92
283,80448,92
284,80704,92
285,81048,93
286,81304,93
287,81560,93
288,81816,93
289,82248,95
290,82504,95
291,82760,95
292,83016,95
293,83360,96
294,83616,96
295,83872,96
296,84128,96
297,84472,97
298,84728,97
299,84984,97
300,85240,97
301,85584,98
302,85840,98
303,86096,98
304,86352,98
305,86784,100
306,87040,100
307,87296,100
308,87552,100
309,87896,101
310,88152,101
311,88408,101
312,88664,101
313,89008,102
314,89264,102
315,89520,102
316,89776,102
317,90120,103
318,90376,103
319,90632,103
320,90888,103
321,91408,106
322,91664,106
323,91920,106
324,92176,106
325,92520,107
326,92776,107
327,93032,107
328,93288,107
329,93632,108
330,93888,108
331,94144,108
332,94400,108
333,94744,109
334,95000,109
335,95256,109
336,95512,109
337,95944,111
338,96200,111
339,96456,111
340,96712,111
341,97056,112
342,97312,112
343,97568,112
344,97824,112
345,98168,113
346,98424,113
347,98680,113
348,98936,113
349,99280,114
350,99536,114
351,99792,114
352,100048,114
353,100480,116
354,100736,116
355,100992,116
356,101248,116
357,101592,117
358,101848,117
359,102104,117
360,102360,117
361,102704,118
362,102960,118
363,103216,118
364,103472,118
365,103816,119
366,104072,119
367,104328,119
368,104584,119
369,105016,121
370,105272,121
371,105528,121
372,105784,121
373,106128,122
374,106384,122
375,106640,122
376,106896,122
377,107240,123
378,107496,123
379,107752,123
380,108008,123
381,108352,124
382,108608,124
383,108864,124
384,109120,124
385,109640,127
386,109896,127
387,110152,127
388,110408,127
389,110752,128
390,111008,128
391,111264,128
392,111520,128
393,111864,129
394,112120,129
395,112376,129
396,112632,129
397,112976,130
398,113232,130
399,113488,130
400,113744,130
401,114176,132
402,114432,132
403,114688,132
404,114944,132
405,115288,133
406,115544,133
407,115800,133
408,116056,133
