seed,n,eph,per
0,10,3120,1200
1,10,2688,1200
2,10,3120,1200
3,10,3264,1200
4,10,2688,1200
5,10,2976,1200
6,10,2904,1200
7,10,2976,1200
8,10,2904,1200
9,10,2688,1200
10,10,2688,1200
11,10,2976,1200
12,10,2760,1200
13,10,2616,1200
14,10,2976,1200
15,10,2616,1200
16,10,2616,1200
17,10,2760,1200
18,10,3120,1200
19,10,2688,1200
20,10,3048,1200
21,10,2832,1200
22,10,2760,1200
23,10,3480,1200
24,10,3336,1200
25,10,2904,1200
26,10,3264,1200
27,10,3192,1200
28,10,2832,1200
29,10,3192,1200
0,13,4248,1512
1,13,3960,1512
2,13,4176,1512
3,13,4032,1512
4,13,3600,1512
5,13,4320,1512
6,13,3888,1512
7,13,4536,1512
8,13,4464,1512
9,13,4032,1512
10,13,3816,1512
11,13,4320,1512
12,13,3960,1512
13,13,3960,1512
14,13,4176,1512
15,13,4896,1512
16,13,3744,1512
17,13,4248,1512
18,13,4104,1512
19,13,4104,1512
20,13,4320,1512
21,13,4176,1512
22,13,3960,1512
23,13,4392,1512
24,13,4248,1512
25,13,4032,1512
26,13,5616,1512
27,13,4032,1512
28,13,4320,1512
29,13,4680,1512
0,17,5776,1944
1,17,6136,1944
2,17,6208,1944
3,17,5632,1944
4,17,5704,1944
5,17,5488,1944
6,17,7000,1944
7,17,6856,1944
8,17,5488,1944
9,17,5128,1944
10,17,5920,1944
11,17,7000,1944
12,17,6280,1944
13,17,5272,1944
14,17,5776,1944
15,17,5920,1944
16,17,5848,1944
17,17,5848,1944
18,17,5776,1944
19,17,5992,1944
20,17,5848,1944
21,17,5488,1944
22,17,5704,1944
23,17,6064,1944
24,17,6064,1944
25,17,6280,1944
26,17,6640,1944
27,17,5632,1944
28,17,6208,1944
29,17,6928,1944
0,23,8608,2664
1,23,9688,2664
2,23,9544,2664
3,23,8104,2664
4,23,8320,2664
5,23,8248,2664
6,23,9328,2664
7,23,10120,2664
8,23,8752,2664
9,23,9472,2664
10,23,8536,2664
11,23,9112,2664
12,23,8464,2664
13,23,8824,2664
14,23,9328,2664
15,23,8968,2664
16,23,9688,2664
17,23,7960,2664
18,23,12208,2664
19,23,8680,2664
20,23,9040,2664
21,23,8680,2664
22,23,10264,2664
23,23,8104,2664
24,23,9832,2664
25,23,8680,2664
26,23,8896,2664
27,23,8248,2664
28,23,10912,2664
29,23,8824,2664
0,30,12200,3504
1,30,12344,3504
2,30,14504,3504
3,30,12488,3504
4,30,13064,3504
5,30,11264,3504
6,30,12776,3504
7,30,13856,3504
8,30,12704,3504
9,30,12272,3504
10,30,11336,3504
11,30,13496,3504
12,30,12704,3504
13,30,13352,3504
14,30,12632,3504
15,30,12488,3504
16,30,12200,3504
17,30,12632,3504
18,30,13928,3504
19,30,11984,3504
20,30,11480,3504
21,30,14360,3504
22,30,13064,3504
23,30,10976,3504
24,30,14000,3504
25,30,12272,3504
26,30,12200,3504
27,30,11336,3504
28,30,14936,3504
29,30,12272,3504
0,39,17456,4584
1,39,16808,4584
2,39,19112,4584
3,39,16232,4584
4,39,16448,4584
5,39,17168,4584
6,39,16448,4584
7,39,18752,4584
8,39,18248,4584
9,39,16448,4584
10,39,16160,4584
11,39,17312,4584
12,39,18752,4584
13,39,18392,4584
14,39,18824,4584
15,39,16448,4584
16,39,16592,4584
17,39,20264,4584
18,39,18608,4584
19,39,17024,4584
20,39,15440,4584
21,39,17024,4584
22,39,17024,4584
23,39,17168,4584
24,39,17816,4584
25,39,18608,4584
26,39,16304,4584
27,39,15296,4584
28,39,20480,4584
29,39,16808,4584
0,51,24056,6024
1,51,22904,6024
2,51,24704,6024
3,51,22760,6024
4,51,22472,6024
5,51,25064,6024
6,51,23696,6024
7,51,25280,6024
8,51,24272,6024
9,51,24344,6024
10,51,24632,6024
11,51,23696,6024
12,51,25136,6024
13,51,25784,6024
14,51,30608,6024
15,51,23624,6024
16,51,22472,6024
17,51,24992,6024
18,51,24920,6024
19,51,24704,6024
20,51,26864,6024
21,51,23696,6024
22,51,24488,6024
23,51,26504,6024
24,51,25064,6024
25,51,24200,6024
26,51,24920,6024
27,51,21752,6024
28,51,26648,6024
29,51,25784,6024
0,67,35928,7944
1,67,33048,7944
2,67,35856,7944
3,67,32400,7944
4,67,32760,7944
5,67,33912,7944
6,67,39168,7944
7,67,34128,7944
8,67,33480,7944
9,67,34344,7944
10,67,32040,7944
11,67,34416,7944
