seed,n,eph,per
0,10000,3.82674e-2,1.480041
0,10000,6.55268e-2,1.5418747
0,10000,6.98758e-2,2.1442597
0,10000,0.1089642,2.0134921
0,10000,0.1012562,2.1271216
0,10000,6.97022e-2,1.9091254
0,10000,7.78985e-2,2.1033758
0,10000,9.85267e-2,1.9540077
0,10000,9.96314e-2,1.8886382
0,10000,7.42466e-2,1.9568625
1,10000,7.94361e-2,2.0361035
1,10000,8.26854e-2,2.0684355
1,10000,4.64134e-2,2.2378
1,10000,4.69075e-2,1.7782892
1,10000,4.83471e-2,1.7653451
1,10000,0.1032889,1.9773634
1,10000,8.18928e-2,2.1841967
1,10000,5.14769e-2,2.1006188
1,10000,7.75124e-2,2.232368
1,10000,6.28451e-2,1.8218702
2,10000,4.98458e-2,1.7624751
2,10000,6.8184e-2,1.8976526
2,10000,6.79236e-2,2.0147034
2,10000,5.4623e-2,1.9990886
2,10000,6.24286e-2,2.0026374
2,10000,4.84124e-2,2.3185902
2,10000,9.47662e-2,2.2059874
2,10000,6.07531e-2,2.2416708
2,10000,5.01771e-2,2.2646926
2,10000,6.41847e-2,1.8954583
3,10000,4.64319e-2,1.7450438
3,10000,5.06265e-2,1.8856929
3,10000,5.10188e-2,2.0586258
3,10000,7.04575e-2,1.9157636
3,10000,5.63533e-2,1.9527337
3,10000,7.07167e-2,1.944749
3,10000,4.62731e-2,1.8985769
3,10000,4.62599e-2,1.9196156
3,10000,4.67996e-2,1.9886334
3,10000,5.36039e-2,1.8518252
4,10000,4.54283e-2,1.9763246
4,10000,4.66621e-2,2.0767091
4,10000,4.86264e-2,1.6605191
4,10000,7.22964e-2,1.7558656
4,10000,4.62487e-2,1.8742727
4,10000,4.91168e-2,1.7857646
4,10000,9.79588e-2,2.1320591
4,10000,7.57416e-2,2.075452
4,10000,6.24896e-2,1.6827
4,10000,5.22766e-2,2.0263008
5,10000,4.68106e-2,1.974128
5,10000,4.64329e-2,1.8320044
5,10000,4.58065e-2,1.6874613
5,10000,4.62561e-2,1.8759343
5,10000,8.10276e-2,1.946536
5,10000,9.47601e-2,1.8015228
