seed,n,eph,per
0,10000,2.18931e-2,0.8492031
0,10000,1.99927e-2,0.756438
0,10000,2.15283e-2,0.7205303
0,10000,1.89214e-2,0.7209369
0,10000,3.16834e-2,0.8714948
0,10000,3.82699e-2,1.0832838
0,10000,2.54389e-2,1.0743957
0,10000,2.65718e-2,1.0184955
0,10000,4.02295e-2,1.3147332
0,10000,3.32706e-2,1.2292587
1,10000,4.86551e-2,1.1604671
1,10000,4.91018e-2,1.0664654
1,10000,3.41353e-2,1.0892055
1,10000,4.40042e-2,1.0433995
1,10000,3.94738e-2,1.0920208
1,10000,3.32521e-2,0.9326203
1,10000,3.69032e-2,1.0582926
1,10000,2.55508e-2,0.9963311
1,10000,2.55902e-2,1.0307964
1,10000,2.44699e-2,0.9592883
2,10000,6.02185e-2,0.9754645
2,10000,3.7436e-2,0.9674982
2,10000,3.96859e-2,0.9799085
2,10000,3.60652e-2,1.0945243
2,10000,3.68817e-2,1.0142587
2,10000,3.67822e-2,1.0572401
2,10000,3.66499e-2,1.017483
2,10000,3.66029e-2,1.0394846
2,10000,3.58324e-2,0.9794166
2,10000,3.5534e-2,1.0621214
3,10000,3.97185e-2,0.9706701
3,10000,2.65606e-2,1.0296803
3,10000,3.42772e-2,1.0083121
3,10000,2.47564e-2,0.997646
3,10000,2.49291e-2,0.9560418
3,10000,3.94317e-2,0.9654831
3,10000,4.66531e-2,0.8708882
3,10000,2.66052e-2,0.960978
3,10000,3.71302e-2,0.8771144
3,10000,3.87497e-2,1.0719368
4,10000,2.49534e-2,0.9872173
4,10000,2.53282e-2,0.9307466
4,10000,4.25771e-2,0.8786392
4,10000,2.4712e-2,1.0291418
4,10000,5.59532e-2,0.9108074
4,10000,2.59706e-2,0.9159692
4,10000,3.8499e-2,0.9397723
4,10000,2.48853e-2,1.024729
4,10000,2.6578e-2,0.8760253
4,10000,3.57393e-2,0.9686194
5,10000,3.61159e-2,0.9897234
5,10000,3.66997e-2,0.9863216
5,10000,3.03415e-2,1.0689736
5,10000,3.76203e-2,0.9409751
5,10000,2.48069e-2,0.9144516
5,10000,5.18003e-2,1.0334895
5,10000,2.51283e-2,0.8847608
5,10000,2.47339e-2,0.9570929
5,10000,3.23305e-2,0.8499502
5,10000,4.36847e-2,0.9933289
6,10000,2.51788e-2,1.0532418
6,10000,3.53019e-2,1.0715668
6,10000,2.43879e-2,1.0901996
6,10000,3.22467e-2,0.8967059
6,10000,2.47288e-2,0.9960453
6,10000,4.42044e-2,1.0247259
6,10000,5.60973e-2,0.9202343
6,10000,3.59204e-2,1.0247124
6,10000,3.3406e-2,0.9524972
6,10000,2.56571e-2,1.0179614
7,10000,3.71318e-2,1.0801873
7,10000,2.55007e-2,0.9769487
7,10000,4.14463e-2,1.0723578
7,10000,5.69868e-2,1.125022
7,10000,4.17979e-2,1.1138517
7,10000,4.01174e-2,1.0261926
7,10000,3.8977e-2,0.9807905
7,10000,3.84154e-2,1.0174486
7,10000,4.06926e-2,0.949857
7,10000,5.02935e-2,0.9669086
8,10000,2.57534e-2,0.9767618
8,10000,3.54406e-2,0.9236286
8,10000,2.46329e-2,0.9516146
8,10000,2.44839e-2,0.8812665
8,10000,2.62559e-2,0.9021389
8,10000,2.66987e-2,0.9368926
8,10000,5.08353e-2,0.9184871
8,10000,2.48332e-2,1.0274513
8,10000,2.59932e-2,0.9583813
8,10000,2.3811e-2,0.8706799
9,10000,3.25858e-2,1.0429284
9,10000,2.95788e-2,0.9786109
9,10000,2.97899e-2,0.8898607
9,10000,6.84516e-2,0.9375892
9,10000,4.18694e-2,1.18729
9,10000,2.59038e-2,0.9410921
9,10000,2.63244e-2,1.0179397
9,10000,2.348e-2,1.0258291
9,10000,3.86339e-2,1.1812053
9,10000,2.47466e-2,1.0589172
10,10000,2.51283e-2,0.8920757
10,10000,2.61226e-2,0.9916576
10,10000,4.55508e-2,1.0711845
10,10000,4.53978e-2,0.9334959
10,10000,3.39178e-2,0.9685869
10,10000,3.92619e-2,1.0897767
10,10000,3.95153e-2,1.0457955
10,10000,3.57445e-2,0.9935294
10,10000,4.44517e-2,0.9605214
10,10000,3.66338e-2,1.0891498
11,10000,2.69369e-2,1.0733323
11,10000,4.48259e-2,1.1002912
11,10000,2.61899e-2,0.9463814
11,10000,2.7077e-2,1.0750644
11,10000,2.51452e-2,1.0929926
11,10000,2.54317e-2,1.0282033
11,10000,2.74893e-2,1.0441016
11,10000,5.67852e-2,0.9254221
11,10000,3.49312e-2,1.2027801
11,10000,2.72288e-2,1.0677029
12,10000,3.29863e-2,0.8469404
12,10000,2.4544e-2,0.9759989
12,10000,2.33276e-2,0.9196987
12,10000,2.39316e-2,1.0458356
12,10000,3.7089e-2,0.9424447
12,10000,3.61323e-2,0.9129838
12,10000,3.72969e-2,0.9852621
12,10000,2.67122e-2,0.9597875
12,10000,2.43401e-2,0.9289157
12,10000,2.46672e-2,0.9692133
13,10000,2.67583e-2,1.0151914
13,10000,2.44849e-2,0.885651
13,10000,2.53831e-2,0.9950974
13,10000,4.90478e-2,1.0531478
13,10000,2.4486e-2,0.9276067
13,10000,2.49992e-2,0.9775934
13,10000,2.54736e-2,0.9014352
13,10000,5.42514e-2,0.9930966
13,10000,2.67924e-2,0.9768624
13,10000,3.37547e-2,1.0016965
14,10000,2.61259e-2,0.9399283
14,10000,4.08508e-2,1.1787045
14,10000,2.61936e-2,1.063446
14,10000,2.67015e-2,1.0890602
14,10000,5.23837e-2,1.0129679
14,10000,4.61267e-2,0.9055068
14,10000,5.95276e-2,1.2053931
14,10000,2.83108e-2,1.1458371
14,10000,3.77478e-2,1.1684873
14,10000,2.43263e-2,0.9404553
15,10000,2.61285e-2,1.0634872
15,10000,2.71706e-2,0.9849997
15,10000,4.13742e-2,1.1150259
15,10000,2.50771e-2,1.0032393
15,10000,2.62803e-2,1.1063699
15,10000,2.7434e-2,1.0484183
15,10000,2.5516e-2,0.9903696
15,10000,4.17752e-2,1.1510892
15,10000,2.64649e-2,1.0257222
15,10000,5.44153e-2,1.058684
16,10000,3.16989e-2,1.0306111
16,10000,3.86231e-2,1.0791464
16,10000,3.75105e-2,0.9741819
16,10000,3.87383e-2,0.9792559
16,10000,5.76865e-2,1.0362224
16,10000,3.64108e-2,0.9129886
16,10000,3.55352e-2,0.9706638
16,10000,6.57796e-2,1.0154484
16,10000,6.31192e-2,0.9412002
16,10000,3.42593e-2,0.9624011
17,10000,3.43975e-2,1.0900326
17,10000,4.13491e-2,0.9588904
17,10000,3.56212e-2,1.1714511
17,10000,5.755e-2,1.1991507
17,10000,2.57656e-2,1.0251725
17,10000,6.62716e-2,0.9778449
17,10000,5.99527e-2,1.1096594
17,10000,2.72188e-2,1.1810498
17,10000,2.64357e-2,1.0032559
17,10000,5.93671e-2,1.171367
18,10000,6.75439e-2,0.9724098
18,10000,3.81232e-2,0.9844768
18,10000,2.94604e-2,1.0260885
18,10000,4.37099e-2,0.9770008
18,10000,6.97624e-2,1.0871323
18,10000,2.44563e-2,0.8210636
18,10000,2.65432e-2,0.9351801
18,10000,2.46991e-2,0.8275366
18,10000,2.53537e-2,1.0114769
18,10000,4.92309e-2,0.9649097
19,10000,4.29356e-2,1.0122202
19,10000,5.48745e-2,1.1776048
19,10000,5.30304e-2,1.0761334
19,10000,2.89137e-2,1.0517797
19,10000,2.78461e-2,1.045331
19,10000,2.68583e-2,0.9924634
