seed,n,eph,per
0,48269,0.1520819,5.6022656
0,48269,0.1494565,5.8777549
1,48269,0.1678862,6.1542798
1,48269,0.3221578,7.3198928
2,48269,0.1522552,5.570938
2,48269,0.1641141,5.714445
3,48269,0.2611437,6.4066689
3,48269,0.1642118,5.5245675
4,48269,0.1657109,6.5845607
4,48269,0.1782157,5.6011176
5,48269,0.1852399,6.5636276
5,48269,0.162348,6.0277338
6,48269,0.1631026,5.7097841
6,48269,0.178748,5.9898516
7,48269,0.2691889,6.0784112
7,48269,0.255109,5.90726
8,48269,0.2378424,6.3985541
8,48269,0.178077,5.2385495
9,48269,0.2599817,6.2602456
9,48269,0.1831902,5.3147163
10,48269,0.2862739,6.7376478
10,48269,0.1478478,6.3601578
11,48269,0.1613289,6.0934432
11,48269,0.1657449,5.7984552
12,48269,0.2339808,5.9340598
12,48269,0.3073469,6.5395972
13,48269,0.1909395,5.5387498
13,48269,0.2259513,5.9367679
14,48269,0.1447416,6.233634
14,48269,0.1543817,6.2121125
0,62750,0.2043884,7.7411913
0,62750,0.2247924,7.6747433
1,62750,0.2507714,9.6275819
1,62750,0.2401107,7.7563984
2,62750,0.3286467,8.0804691
2,62750,0.35582,7.7148564
3,62750,0.3636565,8.7781233
3,62750,0.2062771,8.6428268
4,62750,0.2026383,7.8036672
4,62750,0.2256806,7.4886094
5,62750,0.2466654,8.6820149
5,62750,0.2020492,7.5829451
6,62750,0.2244259,8.741346
6,62750,0.2265968,7.7621647
7,62750,0.2401194,8.2811753
7,62750,0.2426634,8.5590218
8,62750,0.2312056,8.6619999
8,62750,0.22043,7.831812
9,62750,0.2086015,7.7635813
9,62750,0.2251267,8.0145712
10,62750,0.4063109,8.5072864
10,62750,0.2189889,8.1688845
11,62750,0.2244013,7.7058187
11,62750,0.2290953,8.5376168
12,62750,0.2587071,7.9372454
12,62750,0.3834278,8.0180274
13,62750,0.3639287,8.0338058
13,62750,0.293527,8.8400842
14,62750,0.2167047,7.8168667
14,62750,0.2043321,7.4980153
0,81575,0.4888967,11.6323711
0,81575,0.3283152,11.4570061
1,81575,0.2993125,11.2716238
1,81575,0.2955922,10.8345577
2,81575,0.3189921,12.98242
2,81575,0.3342827,11.1461382
3,81575,0.3621255,11.4644336
