seed,n,tem,per
0,10000,15625000,171875000
1,10000,15625000,109375000
2,10000,15625000,140625000
3,10000,31250000,171875000
4,10000,0,187500000
5,10000,31250000,140625000
6,10000,31250000,203125000
7,10000,31250000,171875000
8,10000,31250000,187500000
9,10000,31250000,203125000
10,10000,31250000,125000000
11,10000,31250000,140625000
12,10000,31250000,156250000
13,10000,15625000,109375000
14,10000,31250000,140625000
15,10000,31250000,125000000
16,10000,31250000,234375000
17,10000,46875000,218750000
18,10000,46875000,218750000
19,10000,46875000,265625000
20,10000,46875000,218750000
21,10000,62500000,218750000
22,10000,31250000,234375000
23,10000,46875000,265625000
24,10000,62500000,218750000
25,10000,46875000,281250000
26,10000,31250000,250000000
27,10000,31250000,234375000
28,10000,31250000,281250000
29,10000,46875000,312500000
0,13000,62500000,359375000
1,13000,93750000,312500000
2,13000,62500000,296875000
3,13000,62500000,296875000
4,13000,62500000,296875000
5,13000,62500000,328125000
6,13000,46875000,296875000
7,13000,62500000,406250000
8,13000,78125000,234375000
9,13000,62500000,265625000
10,13000,93750000,406250000
11,13000,78125000,390625000
12,13000,46875000,234375000
13,13000,62500000,281250000
14,13000,46875000,375000000
15,13000,78125000,437500000
16,13000,78125000,453125000
17,13000,78125000,328125000
18,13000,78125000,343750000
19,13000,93750000,390625000
20,13000,93750000,406250000
21,13000,78125000,390625000
22,13000,62500000,421875000
23,13000,62500000,359375000
24,13000,62500000,406250000
25,13000,78125000,312500000
26,13000,78125000,468750000
27,13000,62500000,296875000
28,13000,62500000,234375000
29,13000,62500000,296875000
0,16900,78125000,437500000
1,16900,78125000,437500000
2,16900,93750000,312500000
3,16900,78125000,468750000
4,16900,62500000,375000000
5,16900,93750000,390625000
6,16900,78125000,421875000
7,16900,62500000,421875000
8,16900,93750000,375000000
9,16900,62500000,500000000
10,16900,78125000,406250000
11,16900,62500000,531250000
12,16900,78125000,468750000
13,16900,93750000,375000000
14,16900,125000000,609375000
15,16900,78125000,421875000
16,16900,125000000,640625000
17,16900,93750000,453125000
18,16900,93750000,359375000
19,16900,78125000,593750000
20,16900,109375000,578125000
21,16900,93750000,437500000
22,16900,93750000,609375000
23,16900,93750000,593750000
24,16900,109375000,484375000
25,16900,78125000,468750000
26,16900,109375000,484375000
27,16900,62500000,437500000
28,16900,125000000,515625000
29,16900,78125000,484375000
0,21970,125000000,640625000
1,21970,109375000,531250000
2,21970,109375000,703125000
3,21970,93750000,734375000
4,21970,93750000,593750000
5,21970,109375000,531250000
6,21970,109375000,750000000
7,21970,93750000,593750000
8,21970,109375000,796875000
9,21970,125000000,578125000
10,21970,140625000,656250000
11,21970,140625000,625000000
12,21970,109375000,593750000
13,21970,78125000,515625000
14,21970,109375000,687500000
15,21970,93750000,765625000
16,21970,93750000,468750000
17,21970,125000000,656250000
18,21970,93750000,718750000
19,21970,125000000,562500000
20,21970,140625000,625000000
21,21970,125000000,562500000
22,21970,125000000,546875000
23,21970,140625000,781250000
24,21970,140625000,468750000
25,21970,140625000,718750000
26,21970,78125000,437500000
27,21970,125000000,687500000
28,21970,109375000,687500000
29,21970,125000000,500000000
