n,tem,per
10,2688,1232
10,2256,1232
10,2688,1232
10,2832,1232
10,2256,1232
10,2544,1232
10,2472,1232
10,2544,1232
10,2472,1232
10,2256,1232
10,2256,1232
13,3672,1544
13,3384,1544
13,3600,1544
13,3456,1544
13,3024,1544
13,3744,1544
13,3312,1544
13,3960,1544
13,3888,1544
13,3456,1544
13,3240,1544
17,5008,1976
17,5368,1976
17,5440,1976
17,4864,1976
17,4936,1976
17,4720,1976
17,6232,1976
17,6088,1976
17,4720,1976
17,4360,1976
17,5152,1976
23,7552,2696
23,8632,2696
23,8488,2696
23,7048,2696
23,7264,2696
23,7192,2696
23,8272,2696
23,9064,2696
23,7696,2696
23,8416,2696
23,7480,2696
30,10808,3536
30,10952,3536
30,13112,3536
30,11096,3536
30,11672,3536
30,9872,3536
30,11384,3536
30,12464,3536
30,11312,3536
30,10880,3536
30,9944,3536
39,15632,4616
39,14984,4616
39,17288,4616
39,14408,4616
39,14624,4616
39,15344,4616
39,14624,4616
39,16928,4616
39,16424,4616
39,14624,4616
39,14336,4616
51,21656,6056
51,20504,6056
51,22304,6056
51,20360,6056
51,20072,6056
51,22664,6056
51,21296,6056
51,22880,6056
51,21872,6056
51,21944,6056
51,22232,6056
67,32760,7976
67,29880,7976
67,32688,7976
67,29232,7976
67,29592,7976
67,30744,7976
67,36000,7976
67,30960,7976
67,30312,7976
67,31176,7976
67,28872,7976
88,49224,10496
88,42240,10496
88,43032,10496
88,39720,10496
88,42960,10496
88,44760,10496
88,54048,10496
88,46776,10496
88,44112,10496
88,43608,10496
88,43464,10496
115,67080,13736
115,62328,13736
115,57000,13736
115,57648,13736
115,58080,13736
115,59448,13736
115,71976,13736
115,61032,13736
115,68736,13736
115,59160,13736
115,58728,13736
150,91424,17936
150,84584,17936
150,85376,17936
150,79040,17936
150,85016,17936
150,113744,17936
150,87032,17936
150,93512,17936
150,84512,17936
150,80768,17936
150,85088,17936
195,131024,23336
195,116120,23336
195,114320,23336
195,124904,23336
195,117776,23336
195,139232,23336
195,130376,23336
195,124832,23336
195,120080,23336
195,117704,23336
195,121952,23336
254,177856,30416
254,167920,30416
254,158992,30416
254,165904,30416
254,167272,30416
254,182824,30416
254,168352,30416
254,167920,30416
254,172384,30416
254,150784,30416
254,160720,30416
331,219720,39656
331,234048,39656
331,213456,39656
331,294528,39656
331,236496,39656
331,226056,39656
331,233112,39656
331,225192,39656
331,224328,39656
331,214392,39656
331,240384,39656
431,301504,51656
431,351760,51656
431,313600,51656
431,356368,51656
431,310720,51656
431,313024,51656
431,302008,51656
431,310360,51656
431,317416,51656
431,293944,51656
431,372136,51656
561,413072,67256
561,466496,67256
561,438488,67256
561,423440,67256
561,456560,67256
561,440288,67256
561,440000,67256
561,426896,67256
561,437624,67256
561,403640,67256
561,492344,67256
730,565512,87536
730,606984,87536
730,583656,87536
730,569688,87536
730,635784,87536
730,689280,87536
730,622320,87536
730,590784,87536
730,557736,87536
730,608352,87536
730,618360,87536
949,834408,113816
949,798048,113816
949,800568,113816
949,799560,113816
949,814536,113816
949,862344,113816
949,797760,113816
949,798192,113816
949,798336,113816
949,773424,113816
949,882936,113816
1234,1152456,148016
1234,1079376,148016
1234,1092912,148016
1234,1059360,148016
1234,1073544,148016
1234,1050648,148016
1234,1006800,148016
1234,1092264,148016
1234,1108536,148016
1234,1025880,148016
1234,1143528,148016
