n,per,splits
1,400,0
2,728,0
3,1104,0
4,1480,0
5,1944,1
6,2336,1
7,2840,1
8,3312,1
9,3872,2
10,4312,2
11,4752,2
12,5192,2
13,5752,3
14,6192,3
15,6632,3
16,7072,3
17,7752,5
18,8192,5
19,8632,5
20,9072,5
21,9632,6
22,10072,6
23,10512,6
24,10952,6
25,11512,7
26,11952,7
27,12392,7
28,12832,7
29,13392,8
30,13832,8
31,14272,8
32,14712,8
33,15392,10
34,15832,10
35,16272,10
36,16712,10
37,17272,11
38,17712,11
39,18152,11
40,18592,11
41,19152,12
42,19592,12
43,20032,12
44,20472,12
45,21032,13
46,21472,13
47,21912,13
48,22352,13
49,23032,15
50,23472,15
51,23912,15
52,24352,15
53,24912,16
54,25352,16
55,25792,16
56,26232,16
57,26792,17
58,27232,17
59,27672,17
60,28112,17
61,28672,18
62,29112,18
63,29552,18
64,29992,18
65,30792,21
66,31232,21
67,31672,21
68,32112,21
69,32672,22
70,33112,22
71,33552,22
72,33992,22
73,34552,23
74,34992,23
75,35432,23
76,35872,23
77,36432,24
78,36872,24
79,37312,24
80,37752,24
81,38432,26
82,38872,26
83,39312,26
84,39752,26
85,40312,27
86,40752,27
87,41192,27
88,41632,27
89,42192,28
90,42632,28
91,43072,28
92,43512,28
93,44072,29
94,44512,29
95,44952,29
96,45392,29
97,46072,31
98,46512,31
99,46952,31
100,47392,31
101,47952,32
102,48392,32
103,48832,32
104,49272,32
105,49832,33
106,50272,33
107,50712,33
108,51152,33
109,51712,34
110,52152,34
111,52592,34
112,53032,34
113,53712,36
114,54152,36
115,54592,36
116,55032,36
117,55592,37
118,56032,37
119,56472,37
120,56912,37
121,57472,38
122,57912,38
123,58352,38
124,58792,38
125,59352,39
126,59792,39
127,60232,39
128,60672,39
129,61472,42
130,61912,42
131,62352,42
132,62792,42
133,63352,43
134,63792,43
135,64232,43
136,64672,43
137,65232,44
138,65672,44
139,66112,44
140,66552,44
141,67112,45
142,67552,45
143,67992,45
144,68432,45
145,69112,47
146,69552,47
147,69992,47
148,70432,47
149,70992,48
150,71432,48
151,71872,48
152,72312,48
153,72872,49
154,73312,49
155,73752,49
156,74192,49
157,74752,50
158,75192,50
159,75632,50
160,76072,50
161,76752,52
162,77192,52
163,77632,52
164,78072,52
165,78632,53
166,79072,53
167,79512,53
168,79952,53
169,80512,54
170,80952,54
171,81392,54
172,81832,54
173,82392,55
174,82832,55
175,83272,55
176,83712,55
177,84392,57
178,84832,57
179,85272,57
180,85712,57
181,86272,58
182,86712,58
183,87152,58
184,87592,58
185,88152,59
186,88592,59
187,89032,59
188,89472,59
189,90032,60
190,90472,60
191,90912,60
192,91352,60
193,92152,63
194,92592,63
195,93032,63
196,93472,63
197,94032,64
198,94472,64
199,94912,64
200,95352,64
201,95912,65
202,96352,65
203,96792,65
204,97232,65
205,97792,66
206,98232,66
207,98672,66
208,99112,66
209,99792,68
210,100232,68
211,100672,68
212,101112,68
213,101672,69
214,102112,69
215,102552,69
216,102992,69
217,103552,70
218,103992,70
219,104432,70
220,104872,70
221,105432,71
222,105872,71
223,106312,71
224,106752,71
225,107432,73
226,107872,73
227,108312,73
228,108752,73
229,109312,74
230,109752,74
231,110192,74
232,110632,74
233,111192,75
234,111632,75
235,112072,75
236,112512,75
237,113072,76
238,113512,76
239,113952,76
240,114392,76
241,115072,78
242,115512,78
243,115952,78
244,116392,78
245,116952,79
246,117392,79
247,117832,79
248,118272,79
249,118832,80
250,119272,80
251,119712,80
252,120152,80
253,120712,81
254,121152,81
255,121592,81
256,122032,81
257,122952,85
258,123392,85
259,123832,85
260,124272,85
261,124832,86
262,125272,86
263,125712,86
264,126152,86
265,126712,87
266,127152,87
267,127592,87
268,128032,87
269,128592,88
270,129032,88
271,129472,88
272,129912,88
273,130592,90
274,131032,90
275,131472,90
276,131912,90
277,132472,91
278,132912,91
279,133352,91
280,133792,91
281,134352,92
282,134792,92
283,135232,92
284,135672,92
285,136232,93
286,136672,93
287,137112,93
288,137552,93
289,138232,95
290,138672,95
291,139112,95
292,139552,95
293,140112,96
294,140552,96
295,140992,96
296,141432,96
297,141992,97
298,142432,97
299,142872,97
300,143312,97
301,143872,98
302,144312,98
303,144752,98
304,145192,98
305,145872,100
306,146312,100
307,146752,100
308,147192,100
309,147752,101
310,148192,101
311,148632,101
312,149072,101
313,149632,102
314,150072,102
315,150512,102
316,150952,102
317,151512,103
318,151952,103
319,152392,103
320,152832,103
321,153632,106
322,154072,106
323,154512,106
324,154952,106
325,155512,107
326,155952,107
327,156392,107
328,156832,107
329,157392,108
330,157832,108
331,158272,108
332,158712,108
333,159272,109
334,159712,109
335,160152,109
336,160592,109
337,161272,111
338,161712,111
339,162152,111
340,162592,111
341,163152,112
342,163592,112
343,164032,112
344,164472,112
345,165032,113
346,165472,113
347,165912,113
348,166352,113
349,166912,114
350,167352,114
351,167792,114
352,168232,114
353,168912,116
354,169352,116
355,169792,116
356,170232,116
357,170792,117
358,171232,117
359,171672,117
360,172112,117
361,172672,118
362,173112,118
363,173552,118
364,173992,118
365,174552,119
366,174992,119
367,175432,119
368,175872,119
369,176552,121
370,176992,121
371,177432,121
372,177872,121
373,178432,122
374,178872,122
375,179312,122
376,179752,122
377,180312,123
378,180752,123
379,181192,123
380,181632,123
381,182192,124
382,182632,124
383,183072,124
384,183512,124
385,184312,127
386,184752,127
387,185192,127
388,185632,127
389,186192,128
390,186632,128
391,187072,128
392,187512,128
393,188072,129
394,188512,129
395,188952,129
396,189392,129
397,189952,130
398,190392,130
399,190832,130
400,191272,130
401,191952,132
402,192392,132
403,192832,132
404,193272,132
405,193832,133
406,194272,133
407,194712,133
408,195152,133
409,195712,134
410,196152,134
411,196592,134
412,197032,134
413,197592,135
414,198032,135
415,198472,135
416,198912,135
417,199592,137
418,200032,137
419,200472,137
420,200912,137
421,201472,138
422,201912,138
423,202352,138
424,202792,138
425,203352,139
426,203792,139
427,204232,139
428,204672,139
429,205232,140
430,205672,140
431,206112,140
